ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,random
A-23256,MapQuest,201,3,10/5/2016 12:19,10/5/2016 13:19,37.891441,-122.061424,,,0,Accident on I-680 Westbound at Exits 45B 46A 46B CA-24.,,I-680 N,R,Walnut Creek,Contra Costa,CA,94596,US,US/Pacific,KCCR,10/5/2016 11:53,70,,31,30.04,10,NNW,8.1,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.199900048
A-9008,MapQuest,201,2,12/29/2016 18:34,12/29/2016 19:03,38.38625,-122.716103,,,0.01,Right lane blocked due to accident on US-101 Southbound after Exit 485 Todd Rd.,,Todd Rd,R,Santa Rosa,Sonoma,CA,95407,US,US/Pacific,KSTS,12/29/2016 18:53,45,,86,30.12,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.911233455
A-23088,MapQuest,201,2,10/4/2016 16:36,10/4/2016 17:05,36.513302,-121.437523,,,0,Accident on US-101 El Camino Real Northbound at Exit 311 5th St.,,El Camino Real S,R,Gonzales,Monterey,CA,93926,US,US/Pacific,KSNS,10/4/2016 16:53,64.9,,56,30,9,West,15,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.586631599
A-30359,MapQuest,201,2,9/7/2016 13:18,9/7/2016 13:48,36.972317,-121.430847,,,0,Accident and fallen power cables on Lovers Ln at CA-152.,5101,Pacheco Pass Hwy,L,Gilroy,Santa Clara,CA,95020,US,US/Pacific,KE16,9/7/2016 13:15,91.4,,20,29.91,10,Calm,,,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.071082541
A-7281,MapQuest,241,3,12/15/2016 16:34,12/15/2016 17:04,37.620403,-122.425995,,,0.01,#1 lane blocked due to accident on I-280 Southbound at Exits 43A 43B I-380.,,I-280 S,R,San Bruno,San Mateo,CA,94066,US,US/Pacific,KSFO,12/15/2016 16:31,60.1,,86,29.67,1.5,South,27.6,0.12,Rain,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.391776956
A-20732,MapQuest,241,2,9/17/2016 21:30,9/17/2016 22:00,37.214561,-121.987862,,,0,Lane blocked due to accident on CA-17 Santa Cruz Hwy Northbound at CA-17 Santa Cruz Hwy. Expect delays.,,CA-17 N,R,Los Gatos,Santa Clara,CA,95030,US,US/Pacific,KSJC,9/17/2016 21:53,66.9,,66,29.96,10,Calm,,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.963923454
A-28149,MapQuest,201,2,8/21/2016 15:45,8/21/2016 16:30,38.077675,-122.232727,,,0,Accident on I-80 at Exits 29A 29B CA-29.,,I-80 W,R,Vallejo,Solano,CA,94590,US,US/Pacific,KAPC,8/21/2016 15:54,75,,53,29.85,10,SSW,17.3,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.037399612
A-12914,MapQuest,241,3,10/20/2016 21:34,10/20/2016 22:04,37.344883,-121.92347,,,0.01,Slow lane blocked due to accident on I-880 Northbound at Exit 2 CA-82 The Alameda.,,I-880 N,R,San Jose,Santa Clara,CA,95126,US,US/Pacific,KSJC,10/20/2016 21:53,68,,60,30.02,10,Calm,,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.626291469
A-5369,MapQuest,201,2,12/2/2016 18:24,12/2/2016 18:53,38.287113,-122.118355,,,0.01,Accident on Suisun Valley Rd at Mankas Corner Rd. Intersection Blocked.,2400,Mankas Corner Rd,R,Fairfield,Solano,CA,94534-3132,US,US/Pacific,KAPC,12/2/2016 18:54,57.9,,31,30.16,10,North,16.1,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.923148081
A-14794,MapQuest,201,2,11/3/2016 11:30,11/3/2016 12:00,38.246502,-122.295471,,,0.01,Accident on CA-29 CA-12 Southbound at CA-121 Sonoma Hwy.,,CA-12,R,Napa,Napa,CA,94559,US,US/Pacific,KAPC,11/3/2016 11:54,69.1,,51,30.17,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.842088381
A-27921,MapQuest,201,2,8/18/2016 23:50,8/19/2016 0:20,37.25531,-121.854591,,,0,Accident on CA-85 Southbound at Exits 5A 5B CA-87.,,CA-85 S,R,San Jose,Santa Clara,CA,95123,US,US/Pacific,KRHV,8/18/2016 21:47,68,,68,29.87,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.924387206
A-8302,MapQuest,201,3,12/23/2016 9:14,12/23/2016 9:44,37.774387,-122.231316,,,0.01,Right hand shoulder blocked due to accident on I-880 Northbound at Exit 39A Elmwood Ave.,,I-880 N,R,Oakland,Alameda,CA,94601,US,US/Pacific,KOAK,12/23/2016 9:14,50,,89,29.87,10,ESE,12.7,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.536512116
A-36862,MapQuest,201,3,4/29/2016 20:09,4/29/2016 20:54,37.799412,-122.22065,,,0.01,Lane blocked on exit ramp due to accident on I-580 Eastbound at I-580 Exit 23 / Fruitvale Ave.,,I-580 W,R,Oakland,Alameda,CA,94602,US,US/Pacific,KOAK,4/29/2016 19:53,60.1,,62,29.92,10,WNW,17.3,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day,0.533322382
A-18337,MapQuest,201,2,11/23/2016 11:30,11/23/2016 12:00,37.341072,-121.900093,,,0.01,Accident on CA-87 Guadalupe Pkwy Northbound at Julian St. On the median.,228,Ryland St,L,San Jose,Santa Clara,CA,95110-2276,US,US/Pacific,KSJC,11/23/2016 11:53,61,,50,30.33,10,NNW,8.1,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.75275747
A-33081,MapQuest,201,3,4/5/2016 12:40,4/5/2016 13:10,37.349705,-121.838699,,,0,Right hand shoulder blocked due to accident on I-680 Northbound at Exits 1B 1C Jackson Ave.,,I-680 N,R,San Jose,Santa Clara,CA,95116,US,US/Pacific,KRHV,4/5/2016 12:53,77,,24,30.2,10,Variable,4.6,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.500150104
A-35363,MapQuest,201,2,4/20/2016 16:49,4/20/2016 18:04,38.588737,-121.401505,,,0.01,Accident on Fulton Ave at Hurley Way.,1301,Fulton Ave,R,Sacramento,Sacramento,CA,95825-3603,US,US/Pacific,KMCC,4/20/2016 16:50,77,,19,29.9,10,SW,10.4,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day,0.283476436
A-9287,MapQuest,201,2,1/2/2017 18:58,1/2/2017 19:42,36.6978,-121.664246,,,0.01,Shoulder blocked on entry ramp due to accident on Calle del Adobe for US-101.,,W Laurel Dr,R,Salinas,Monterey,CA,93906,US,US/Pacific,KSNS,1/2/2017 18:53,48,,86,30.11,4,East,13.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.628872663
A-19288,MapQuest,201,2,11/29/2016 14:56,11/29/2016 15:25,37.152908,-121.652679,,,0.01,Right hand shoulder blocked due to accident on US-101 Southbound at Exit 367 Cochrane Rd.,,S Valley Fwy S,R,Morgan Hill,Santa Clara,CA,95037,US,US/Pacific,KE16,11/29/2016 14:55,59,,45,30.12,10,WNW,9.2,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.449147484
A-4387,MapQuest,201,2,7/27/2016 8:22,7/27/2016 9:07,38.499405,-122.825829,,,0,Accident on Slusser Rd at Laughlin Rd.,4162,Slusser Rd,R,Windsor,Sonoma,CA,95492-9689,US,US/Pacific,KSTS,7/27/2016 7:53,59,,78,29.86,10,Calm,,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.877716335
A-25094,MapQuest,201,3,10/17/2016 13:36,10/17/2016 14:06,37.444252,-122.269119,,,0.01,Accident on I-280 Southbound at Exit 27 Farm Hill Blvd. On the median.,,I-280 S,R,Redwood City,San Mateo,CA,94062,US,US/Pacific,KSQL,10/17/2016 13:58,68,,52,30.06,10,NNW,5.8,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.551565112
A-35657,MapQuest,201,2,4/21/2016 22:20,4/21/2016 23:05,38.947292,-121.101768,,,0,Right hand shoulder blocked due to accident on Quartz Dr at Sapphire Dr.,11628,Quartz Dr,L,Auburn,Placer,CA,95602-2307,US,US/Pacific,KAUN,4/21/2016 22:15,60.8,,63,29.89,10,SSW,6.9,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.351726804
A-11875,MapQuest,201,2,1/19/2017 20:16,1/19/2017 21:01,38.500767,-121.217667,,,0.01,Right hand shoulder blocked due to accident on Mitchlen Ct at CA-16 Jackson Rd.,12195,Jackson Rd,L,Sloughhouse,Sacramento,CA,95683-9605,US,US/Pacific,KMHR,1/19/2017 20:45,48.2,,93,29.76,10,SSE,9.2,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.77050206
A-25302,MapQuest,247,2,10/19/2016 8:40,10/19/2016 9:25,38.470661,-122.88633,,,0.01,Delays due to accident on CA-116 Gravenstein Hwy both ways at Vine Hill Rd.,6188,Gravenstein Hwy N,R,Forestville,Sonoma,CA,95436,US,US/Pacific,KSTS,10/19/2016 8:53,52,,83,30.19,10,WNW,3.5,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.945901221
A-31991,MapQuest,201,2,3/29/2016 11:49,3/29/2016 12:49,37.936543,-121.29882,,,0,Accident on CA-4 Charter Way at Navy Dr.,733,W Charter Way,R,Stockton,San Joaquin,CA,95206-1101,US,US/Pacific,KSCK,3/29/2016 11:55,60.1,,41,29.88,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.996219383
A-25595,MapQuest,201,3,8/2/2016 3:24,8/2/2016 4:24,37.920135,-122.333183,,,0,Right hand shoulder blocked due to accident on I-580 Westbound at Exit 10B Regatta Blvd.,,I-580 E,R,Richmond,Contra Costa,CA,94804,US,US/Pacific,KCCR,8/2/2016 3:53,57.9,,78,29.92,10,West,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.440482516
A-5171,MapQuest,201,3,12/1/2016 11:43,12/1/2016 12:12,37.959778,-122.330673,,,0.01,Lane blocked on exit ramp due to accident on I-80 Westbound at Exit 18 San Pablo Dam Rd.,,I-80 W,R,San Pablo,Contra Costa,CA,94806,US,US/Pacific,KCCR,12/1/2016 11:53,59,,36,30.08,10,North,4.6,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.548895878
A-7588,MapQuest,201,3,12/17/2016 19:13,12/17/2016 19:43,38.505337,-121.785492,,,0.01,Accident on I-80 Westbound at Exit 69 Kidwell Rd.,,CA-113 N,R,Dixon,Solano,CA,95620,US,US/Pacific,KEDU,12/17/2016 19:15,37.4,,81,30.33,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night,0.123570081
A-5478,MapQuest,201,2,12/3/2016 16:11,12/3/2016 16:50,37.407047,-122.063148,,,0.01,Accident on US-101 Northbound at Exits 398 398A Moffett Blvd.,,US-101 N,R,Mountain View,Santa Clara,CA,94043,US,US/Pacific,KNUQ,12/3/2016 15:56,60.1,,42,30.19,10,NNW,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.047141795
A-38324,MapQuest,201,2,5/12/2016 10:06,5/12/2016 10:36,37.27877,-121.806313,,,0.01,Right hand shoulder blocked due to accident on US-101 Northbound at Exit 380 Hellyer Ave.,,US-101 N,R,San Jose,Santa Clara,CA,95138,US,US/Pacific,KRHV,5/12/2016 10:20,64.4,,68,30.07,4,Variable,5.8,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.023545413
A-329,MapQuest,201,2,2/22/2016 16:57,2/22/2016 17:57,39.630444,-84.196266,,,0,Accident on Washington Village Dr at OH-725 Miamisburg Centerville Rd.,,Washington Village Dr,R,Dayton,Montgomery,OH,45459,US,US/Eastern,KMGY,2/22/2016 16:53,48,,50,30.06,10,ENE,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.572595674
A-27020,MapQuest,201,3,8/12/2016 18:06,8/12/2016 18:51,37.334507,-122.027931,,,0,#3 lane blocked due to accident on I-280 Northbound at Exit 11 De Anza Blvd.,,Junipero Serra Fwy N,R,Cupertino,Santa Clara,CA,95014,US,US/Pacific,KNUQ,8/12/2016 17:56,73,,59,29.99,10,NNW,9.2,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.534811059
A-17068,MapQuest,201,3,11/16/2016 11:52,11/16/2016 12:22,37.889572,-122.058487,,,0.01,Accident on I-680 Southbound at Exits 45B 46A 46B CA-24. On the median.,,I-680 S,R,Walnut Creek,Contra Costa,CA,94596,US,US/Pacific,KCCR,11/16/2016 11:53,61,,41,30.04,10,WNW,16.1,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.797575444
A-3749,MapQuest,222,2,7/21/2016 21:58,7/21/2016 23:13,38.632729,-121.21875,,,0,Queueing traffic due to accident on Tributary Point Dr at US-50.,,Hazel Ave,R,Rancho Cordova,Sacramento,CA,95670,US,US/Pacific,KMHR,7/21/2016 21:46,66.2,,49,30.04,10,South,8.1,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day,0.77358833
A-36272,MapQuest,229,3,4/26/2016 18:58,4/26/2016 19:43,37.698124,-121.940765,,,0.01,Slow traffic due to accident on I-580 Eastbound at I-580 Exit 44A / San Ramon Rd.,,I-580 E,R,Pleasanton,Alameda,CA,94588,US,US/Pacific,KLVK,4/26/2016 18:53,59,,58,30.03,10,WSW,9.2,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.359288901
A-22410,MapQuest,201,2,9/29/2016 7:08,9/29/2016 7:55,38.777943,-121.728584,,,0,Accident on County Hwy-E8 County Road 102 Southbound before County Road 14.,11000,County Road 102,L,Woodland,Yolo,CA,95776-9119,US,US/Pacific,KSMF,9/29/2016 6:53,55,,83,29.96,10,South,15,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.026045136
A-36294,MapQuest,229,3,4/26/2016 20:19,4/26/2016 21:19,37.70134,-121.873657,,,0.01,Slow traffic due to accident on I-580 Eastbound near Exit 47 Tassajara Rd.,,I-580 E,R,Pleasanton,Alameda,CA,94588,US,US/Pacific,KLVK,4/26/2016 19:53,55,,67,30.03,10,South,10.4,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day,0.402903926
A-19718,MapQuest,201,3,9/13/2016 9:40,9/13/2016 10:10,38.92551,-122.000397,,,0,Accident on I-5 Northbound at Exit 559 County Line Rd.,,County Line Rd,R,Dunnigan,Yolo,CA,95937,US,US/Pacific,KSMF,9/13/2016 9:53,62.1,,60,29.92,10,South,10.4,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.158275813
A-2055,MapQuest,201,2,7/4/2016 12:57,7/4/2016 13:27,37.854958,-122.493698,,,0,Right lane blocked due to accident on US-101 Southbound at Exit 443 Monte Mar Dr.,,US-101 S,R,Sausalito,Marin,CA,94965,US,US/Pacific,KSFO,7/4/2016 12:56,68,,63,30.04,10,NNE,9.2,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.038217027
A-25767,MapQuest,201,2,8/3/2016 9:54,8/3/2016 10:24,38.474388,-121.408821,,,0,Accident on Elsie Ave Eastbound at Power Inn Rd.,,Power Inn Rd,R,Sacramento,Sacramento,CA,95828,US,US/Pacific,KSAC,8/3/2016 9:53,75,,48,29.94,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.335673581
A-20945,MapQuest,201,2,9/19/2016 12:42,9/19/2016 13:27,37.701061,-122.393188,,,0,Accident on US-101 Northbound at Candlestick Park.,,US-101 N,R,Brisbane,San Mateo,CA,94005,US,US/Pacific,KSFO,9/19/2016 12:56,77,,58,29.92,10,North,6.9,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.781540917
A-29861,MapQuest,201,2,9/3/2016 18:27,9/3/2016 19:12,38.51487,-122.19075,,,0,Accident on Steele Canyon Rd at Arroyo Linda Ct.,1000,Arroyo Linda Ct,L,Napa,Napa,CA,94558-9518,US,US/Pacific,KAPC,9/3/2016 18:54,64.9,,68,29.73,10,South,15,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day,0.558179706
A-32942,MapQuest,201,2,4/4/2016 16:53,4/4/2016 18:08,38.495975,-121.459145,,,0,Accident on Florin Rd at County Hwy-J8 Franklin Blvd.,,Florin Rd,R,Sacramento,Sacramento,CA,95823,US,US/Pacific,KSAC,4/4/2016 16:53,77,,37,30.15,10,Variable,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day,0.952954757
A-9353,MapQuest,201,3,1/3/2017 7:11,1/3/2017 8:10,38.546047,-121.509056,,,0.01,Right hand shoulder blocked due to accident on I-5 Northbound near Exit 516 Sutterville Rd.,,I-5 N,R,Sacramento,Sacramento,CA,95818,US,US/Pacific,KSAC,1/3/2017 6:53,45,39.3,97,30.09,10,SE,11.5,0.01,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day,0.115378781
